DI	AFF	INST	TI	NAT
10.5194/we-18-7-2018	{Switzerland, Brazil, Chile, Spain}	{ Univ Cadiz, Fac Ciencias Mar & Ambientales, Dept Biol IVAGRO, Puerto Real 11510, Spain;  Ctr Sci & Resilience Res CR 2, Santiago 8370361, Chile;  Univ Zurich, Dept Evolutionary Biol & Environm Studies, CH-8057 Zurich, Switzerland;  Univ Fed Vales Jequitinhonha & Mucuri, Dept Agron DAG, BR-39100000 Diamantina, Brazil}	Heat shock and plant leachates regulate seed germination of the endangered carnivorous plant Drosophyllum lusitanicum	1
10.1002/2017JD027309	{Chile}	{ Univ Chile, Fac Phys & Math Sci, Dept Elect Engn, Santiago, Chile;  Univ Chile, Fac Phys & Math Sci, Space & Planetary Explorat Lab, Santiago, Chile;  Univ Chile, Fac Phys & Math Sci, Dept Mech Engn, Santiago, Chile;  Univ Chile, Fac Phys & Math Sci, Dept Geophys, Santiago, Chile;  Univ Chile, Ctr Climate & Resilience Res, Santiago, Chile}	AOT Retrieval Procedure for Distributed Measurements With Low-Cost Sun Photometers	5
10.1038/s41598-018-19461-4	{Chile}	{ Interdisciplinary Ctr Aquaculture Res INCAR, Concepcion, Chile;  Univ Concepcion, Fac Ciencias Nat & Oceanog, Dept Zool, Concepcion 4070386, Chile;  Univ Chile, Dept Geofis, Santiago 8370449, Region Metropol, Chile;  Ctr Climate & Resilience Res, CR2, Santiago 8370449, Region Metropol, Chile;  Univ Austral Chile, Inst Acuicultura, Pinos S-N, Puerto Montt, Chile;  Univ Austral Chile, Ctr Invest Dinam Ecosistemas Marinos Altas Latitu, Pinos S-N, Puerto Montt, Chile;  Univ Concepcion, Ctr COPAS Sur Austral, Concepcion, Chile;  CIEP, Francisco Bilbao 449, Coyhaique, Chile}	Hydroclimatic conditions trigger record harmful algal bloom in western Patagonia (summer 2016)	8
10.11144/Javeriana.cdr15-81.ebct	{Chile, Mexico}	{ Colegio Frontera Sur, Lerma Campeche, Camp, Mexico;  Univ Austral Chile, Valdivia, Chile}	Entangling the Forests and the Communities: Territorialization of REDD plus in the Common Land Felipe Carrillo Puerto, Mexico	1
10.4067/S0717-92002018000200265	{Chile}	{ Univ La Frontera, Dept Ciencias Forestales, Lab Ecol Paisaje Forestal, POB 54-D, Temuco, Chile;  Univ Austral Chile, Fac Ciencias Forestales & Recursos Nat, Escuela Graduados, Valdivia, Chile;  Univ Austral Chile, Fac Ciencias Forestales & Recursos Nat, Inst Conservac Biodiversidad & Terr, Valdivia, Chile;  Univ Chile, Ctr Climate & Resilience Res CR2, Santiago, Chile;  Univ Chile, Fac Ciencias Forestales & Conservac Nat, Lab Geomat & Ecol Paisaje, Santiago, Chile;  Univ Concepcion, Fac Ciencias Forestales, Lab Invas Biol, Victoria 631,Casilla 160-C, Concepcion, Chile;  IEB, Las Palmeras 3425 Nunoa,Casilla 653, Santiago, Chile;  Univ Chile, Dept Silvicultura & Conservac Nat, Santiago, Chile;  Univ Aysen, Obispo Vielmo 62, Coyhaique, Chile}	Monitoring Chilean native forest area: a pending challenge	9
10.18352/ijc.856	{Netherlands, Chile}	{ Univ Austral Chile, Human Scale Dev & Ecol Econ Program, Fac Econ & Adm Sci, Valdivia, Chile;  Univ Austral Chile, Inst Hist & Social Sci, Valdivia, Chile;  Ctr Climate & Resilence Res, Valdivia, Chile;  Res Ctr Dynam High Latitude Marine Ecosyst, Valdivia, Chile;  Wageningen Univ, Environm Policy Grp, Wageningen, Netherlands;  Univ Austral Chile, Transdisciplinary Ctr Environm Studies & Sustaina, Valdivia, Chile;  Univ Austral Chile, Inst Biodivers Conservat & Terr, Valdivia, Chile;  Univ Austral Chile, Inst Antropol Studies, Valdivia, Chile}	Self-organizing processes in urban green commons. The case of the Angachilla wetland, Valdivia-Chile	7
10.3354/cr01505	{Chile}	{ Univ Chile, Dept Geophys, Blanco Encalada 2002, Santiago, Chile;  Univ Chile, Ctr Climate & Resilience Res, Blanco Encalada 2002, Santiago, Chile}	Record-breaking climate anomalies lead to severe drought and environmental disruption in western Patagonia in 2016	2
10.4209/aaqr.2017.01.0022	{Germany, Chile}	{ Pontificia Univ Catolica Chile, Inst Geog, Santiago, Chile;  Ctr UC Desierto Atacama, Santiago, Chile;  Heidelberg Univ, Heidelberg Ctr Environm, D-69120 Heidelberg, Germany;  Heidelberg Univ, Inst Geog, D-69120 Heidelberg, Germany;  Heidelberg Univ Educ, Dept Geog, Res Grp Earth Observat Rgeo, D-69115 Heidelberg, Germany}	ENSO Influence on Coastal Fog-Water Yield in the Atacama Desert, Chile	2
10.1002/2017JG003907	{Chile}	{ Univ Concepcion, Fac Environm Sci, Dept Aquat Syst, Aquat Ecosyst Functioning Lab, Concepcion, Chile;  Univ Concepcion, Environm Sci Ctr EULA Chile, Concepcion, Chile;  Univ Concepcion, Ctr Study Multiple Drivers Marine Socioecol Syst, Concepcion, Chile;  Univ Concepcion, Millenium Inst Oceanog, Concepcion, Chile;  Pontificia Univ Catolica Chile, Escuela Ciencias Mar, Valparaiso, Chile;  Univ Austral Chile, Inst Ciencias Marinas & Limnol, Valdivia, Chile;  Univ Austral Chile, Ctr Invest Ecosistemas Altas Latitudes, Valdivia, Chile;  Univ Magallanes, GAIA Antartica, Punta Arenas, Chile;  Univ Concepcion, Dept Oceanog, Concepcion, Chile;  Univ Concepcion, COPAS Sur Austral, Concepcion, Chile}	Influence of Glacier Melting and River Discharges on the Nutrient Distribution and DIC Recycling in the Southern Chilean Patagonia	10
10.1002/joc.5186	{Australia, Chile}	{ Univ Melbourne, Sch Earth Sci, McCoy Bldg,Corner Swanston & Elgin St, Melbourne, Vic 3010, Australia;  Ctr Climate & Resilience Res CR 2, Santiago, Chile;  Univ Melbourne, Dept Infrastruct Engn, Melbourne, Vic, Australia;  Pontificia Univ Catolica Valparaiso, Inst Geog, Valparaiso, Chile}	The first 300-year streamflow reconstruction of a high-elevation river in Chile using tree rings	2
10.1016/j.quaint.2017.07.010	{PA 16802 USA, AZ 85721 USA, England, Chile, France}	{ UCL, Inst Archaeol, 31-34 Gordon Sq, London WC1H 0PY, England;  Univ Tarapaca, Inst Alta Invest, Lab Arqueol & Paleoambiente, Antofagasta 1520,Casilla 6-D, Arica 100236, Chile;  Univ Tarapaca, Lab Anal & Invest Arqueo Metr, Lab Arqueol & Paleoambiente, Inst Alta Invest, Antofagasta 1520,Casilla 6-D, Arica 100236, Chile;  Univ Concepcion, Dept Oceanog, Barrio Univ S-N, Concepcion, Chile;  Ctr Climate & Resilience Res CR 2, Santiago 2002, Chile;  Penn State Univ, Dept Anthropol, University Pk, PA 16802 USA;  Univ Paris X Nanterre, UMR Prehist & Technol Maison Rene Ginouves, 200 Ave Republ, F-92001 Nanterre, France;  Univ Arizona, Sch Anthropol, Tucson, AZ 85721 USA;  Univ Magallanes, GAIA Antartica, Punta Arenas, Chile;  Pontificia Univ Catolica Chile, Dept Ecol, Alameda 340, Santiago, Chile;  Pontificia Univ Catolica Chile, Ctr UC Desierto Atacama, Alameda 340, Santiago, Chile;  IEB, Santiago 3425, Chile}	The Dry Puna as an ecological megapatch and the peopling of South America: Technology, mobility, and the development of a late Pleistocene/early Holocene Andean hunter-gatherer tradition in northern Chile	8
10.5194/hess-21-6307-2017	{Chile}	{ Univ Chile, Dept Geophys, Santiago, Chile;  Ctr Climate & Resilience Res CR2, Santiago, Chile;  Univ Austral Chile, Inst Conservac Biodiversidad & Terr, Lab Dendrocronol & Cambio Global, Valdivia, Chile;  Univ Chile, Fac Agron Sci, Santiago, Chile;  Univ Chile, Dept Civil Engn, Santiago, Chile;  Univ Chile, Adv Min Technol Ctr, Santiago, Chile;  Univ La Frontera, Fac Engn & Sci, Dept Civil Engn, Temuco, Chile}	The 2010-2015 megadrought in central Chile: impacts on regional hydroclimate and vegetation	7
10.5194/gmd-10-4081-2017	{Denmark, NH 03814 USA, Chile, IN 47907 USA}	{ Univ Magallanes, GAIA Antarctica, Punta Arenas, Chile;  Univ Copenhagen, Niels Bohr Inst, DK-2100 Copenhagen O, Denmark;  Univ Chile, Dept Geophys, Santiago, Chile;  Univ Chile, Ctr Climate & Resilience Res, Santiago, Chile;  Tech Univ Denmark, Natl Space Inst, DK-2800 Lyngby, Denmark;  Danish Meteorol Inst, DK-2100 Copenhagen O, Denmark;  Purdue Univ, Earth Atmospher & Planetary Sci, W Lafayette, IN 47907 USA;  Univ New Hampshire, Inst Study Earth Oceans & Space, Durham, NH 03814 USA}	Implementation of methane cycling for deep-time global warming simulations with the DCESS Earth system model (version 1.2)	3
10.5194/gmd-10-4035-2017	{Canada, Netherlands, England, NY 10025 USA, CO 80305 USA, NY 14850 USA, France, OR 97403 USA, Sweden, Peoples R China, Germany, Chile, HI 96822 USA, Japan, Norway, Russia}	{ Univ Paris Saclay, CEA CNRS UVSQ, Lab Sci Climat & Environm, F-91191 Gif Sur Yvette, France;  Univ Reading, Ctr Climate Change, Reading RG6 2AH, Berks, England;  Univ Reading, SAGES, Reading RG6 2AH, Berks, England;  Univ Bristol, Sch Geog Sci, Bristol BS8 1SS, Avon, England;  Univ Leeds, Sch Earth & Environm, Leeds LS2 9JT, W Yorkshire, England;  Pontifical Catolica Univ Chile, Dept Phys Geog, Santiago, Chile;  Univ Toronto, Dept Phys, 60 St George St, Toronto, ON M5S 1A7, Canada;  Vrije Univ Amsterdam, Fac Earth & Life Sci, Earth & Climate Cluster, Amsterdam, Netherlands;  Mem Univ Newfoundland & Labrador, Dept Phys & Phys Oceanog, St John, NF A1B 3X7, Canada;  Alfred Wegener Inst, Helmholtz Ctr Polar & Marine Res, Bussestr 24, D-27570 Bremerhaven, Germany;  Natl Ctr Atmospher Res, 1850 Table Mesa Dr, Boulder, CO 80305 USA;  NASA, Goddard Inst Space Studies, 2880 Broadway, New York, NY 10025 USA;  Cornell Univ, Dept Earth & Atmospher Sci, Bradfield 1112, Ithaca, NY 14850 USA;  Max Planck Inst Meteorol, Bundesstr 53, D-20146 Hamburg, Germany;  Univ Bergen, Dept Earth Sci, Allegaten 41, N-5007 Bergen, Norway;  Bjerknes Ctr Climate Res, Allegaten 41, N-5007 Bergen, Norway;  Univ Oslo, Dept Geosci, Sem Saelands Vei 2A, N-0371 Oslo, Norway;  Univ Oslo, Ctr Earth Evolut & Dynam, Sem Saelands Vei 2A, N-0371 Oslo, Norway;  Univ Coll Southeast Norway, Dept Nat Sci & Environm Hlth, Bo, Norway;  Stockholm Univ, Dept Phys Geog, Stockholm, Sweden;  Bolin Ctr Climate Res, Stockholm, Sweden;  Univ Tokyo, Atmosphere Ocean Res Inst, 5-1-5 Kashiwanoha, Kashiwa, Chiba 2778564, Japan;  Univ Oregon, Dept Geog, Eugene, OR 97403 USA;  Nanjing Univ Informat Sci & Technol, Earth Syst Modeling Ctr, Nanjing, Jiangsu, Peoples R China;  Japan Agcy Marine Earth Sci & Technol, Yokohama, Kanagawa, Japan;  Russian Acad Sci, Inst Numer Math, Moscow, Russia;  Meteorol Res Inst, Tsukuba, Ibaraki, Japan;  Nanjing Univ Informat Sci & Technol, Sch Atmospher Sci, Nanjing 210044, Jiangsu, Peoples R China;  Univ Hawaii Manoa, Int Pacific Res Ctr, Honolulu, HI 96822 USA;  Chinese Acad China, Inst Atmospher Phys, State Key Lab Numer Modeling Atmospher Sci & Geoph, Beijing 100029, Peoples R China}	The PMIP4 contribution to CMIP6-Part 4: Scientific objectives and experimental design of the PMIP4-CMIP6 Last Glacial Maximum experiments and PMIP4 sensitivity experiments	1
10.3390/su9112053	{Chile}	{ Univ Chile, Dept Environm Sci & Nat Resources, Ave Santa Rosa 11-315, Santiago 8820808, Region Metropol, Chile;  Ctr Climate & Resilience Res, CR2,Blanco Encalada 2002,4 Piso, Santiago 8370449, Region Metropol, Chile;  Univ Chile, Ctr Disaster Risk Reduct, Diagonal Paraguay 265, Santiago 8820808, Region Metropol, Chile;  Univ Chile, Dept Psychol, Ave Capitan Ignacio Carrera Pinto 1045, Santiago 7750000, Region Metropol, Chile;  Univ Chile, Dept Anthropol, Ave Capitan Ignacio Carrera Pinto 1045, Santiago 7750000, Region Metropol, Chile;  Univ Chile, Dept Geophys, Blanco Encalada 2002,4 Piso, Santiago 8370449, Region Metropol, Chile}	Local Perception of Drought Impacts in a Changing Climate: The Mega-Drought in Central Chile	6
10.1038/s41598-017-13761-x	{Chile}	{ Univ Chile, Dept Geophys, Santiago, Chile;  Ctr Climate & Resilience Res, Santiago, Chile}	A solar radiation database for Chile	2
10.1007/s12237-017-0241-2	{Chile}	{ Univ Concepcion, Fac Ciencias Nat & Oceanog, Dept Oceanog, Concepcion, Chile;  Univ Chile, Ctr Ciencia Clima & Resiliencia CR 2, Santiago, Chile}	Dissolved Methane Distribution in the Reloncavi Fjord and Adjacent Marine System During Austral Winter (41 degrees-43 degrees S)	2
10.5194/bg-14-4795-2017	{Denmark, OR 97331 USA, Chile}	{ Univ Catolica Santisima Concepcion, CREA, Ave Colon 2766, Talcahuano 4270789, Chile;  Univ Andres Bello, Dept Ecol & Biodiversidad, Fac Ecol & Recursos Nat, Autopista Concepcion Tal 7100, Chile;  Univ Southern Denmark, Dept Biol, Odense M, Denmark;  Univ Southern Denmark, Nord Ctr Earth Evolut NordCEE, Odense M, Denmark;  Oregon State Univ, Coll Earth Ocean & Atmospher Sci, Corvallis, OR 97331 USA;  Univ Austral Chile, Ctr FONDAP Invest Dinam Ecosistemas Marinos Altas, Valdivia, Chile;  Univ Concepcion, Dept Oceanog, Concepcion, Chile;  Univ Concepcion, Lab Proc Oceanog & Clima PROFC, Concepcion, Chile;  Ctr Ciencia Clima & Resiliencia CR2, Santiago, Chile}	Vertical segregation among pathways mediating nitrogen loss (N-2 and N2O production) across the oxygen gradient in a coastal upwelling ecosystem	6
10.3389/feart.2017.00077	{Australia, Chile, NM 87501 USA}	{ Univ Tarapaca, Inst Alta lnvest, Lab Arqueol & Paleoambiente, Arica, Chile;  Univ Concepcion, Ctr Ciencia Clime & Resiliencia CR 2, Concepcion, Chile;  Univ Concepcion, Dept Oceanog, Concepcion, Chile;  Australian Natl Univ, Sch Archaeol & Anthropol, Canberra, ACT, Australia;  Univ Tarapaca, Dept Antropol, Arica, Chile;  Univ Alberto Hurtado, Dept Antropol, Santiago, Chile;  Univ Chile, Dept Antropol, Santiago, Chile;  Univ Magallanes, GAIA Antartica, Punta Arenas, Chile;  Pontificia Univ Catolica Chile, Fac Ciencias Biol, Dept Ecol, Santiago, Chile;  Inst Ecol & Biodivers, Santiago, Chile;  Santa Fe Inst, Santa Fe, NM 87501 USA;  Pontificia Univ Catolica Chile, Ctr UC Desierto Atacama, Santiago, Chile}	Loco or no Loco? Holocene Climatic Fluctuations, Human Demography, and Community Based Management of Coastal Resources in Northern Chile	10
10.1175/JHM-D-17-0005.1	{CO USA, WY 82071 USA, NY 10027 USA, Chile, NY 12222 USA}	{ SUNY Albany, Dept Atmospher & Environm Sci, Albany, NY 12222 USA;  Univ Chile, Dept Geophys, Santiago, Chile;  Univ Chile, Ctr Climate & Resilience Res, Santiago, Chile;  Univ Colorado Boulder, Cooperat Inst Res Environm Sci, Boulder, CO USA;  Univ Colorado Boulder, Dept Atmospher & Ocean Sci, Boulder, CO USA;  Univ Concepcion, Water Res Ctr Agr & Min, Concepcion, Chile;  Univ Wyoming, Dept Atmospher Sci, Laramie, WY 82071 USA;  Columbia Univ, Dept Earth & Environm Engn, New York, NY 10027 USA}	The Chilean Coastal Orographic Precipitation Experiment: Observing the Influence of Microphysical Rain Regimes on Coastal Orographic Precipitation	3
10.3390/su9101831	{Brazil, Colombia, Chile, Peru, France}	{ CIRAD, Agr Res Dev, F-34398 Montpellier, France;  CIFOR, Ctr Int Forestry Res, Lima 12, Peru;  Univ Chile, Dept Environm Sci & Resource Management, Ctr Climate & Resilience Res CR2, Santiago 8820000, Chile;  Int Ctr Trop Agr CIAT, Cali 76520000, Colombia;  Univ Brasilia, Ctr Sustainable Dev, BR-70910900 Brasilia, DF, Brazil}	Research on Climate Change Policies and Rural Development in Latin America: Scope and Gaps	1
10.1016/j.atmosenv.2017.07.002	{TX 77204 USA, Chile}	{ Univ Houston, Dept Earth & Atmospher Sci, 4800 Calhoun Rd, Houston, TX 77204 USA;  Univ Santiago Chile, USACH, Fac Quim & Biol, Av LB OHiggins 3363, Santiago 9160000, Chile;  Ctr Desarrollo Nanociencia & Nanotecnol CEDENNA U, Santiago 9160000, Chile;  Univ Santiago Chile, Fac Ciencias, Dept Fis, USACH, Santiago 9160000, Chile;  Univ Chile, Dept Geophys, Ctr Climate & Resilience Res, Santiago 8320000, Chile}	Modeling study of biomass burning plumes and their impact on urban air quality; a case study of Santiago de Chile	4
10.1002/joc.5084	{Chile}	{ Univ Valparaiso, Sch Ocean Engn, Fac Engn, Valparaiso, Chile;  Univ Chile, Fac Phys & Math Sci, Dept Geophys, Santiago, Chile;  Univ Chile, Ctr Climate & Resilience Res, Santiago, Chile;  Ctr Adv Studies Arid Zones, La Serena, Chile}	Wind waves climatology of the Southeast Pacific Ocean	4
10.1016/j.foreco.2017.06.020	{Germany, Chile}	{ Univ Austral Chile, Direcc Serv Vicerrectoria Gest Econ & Adm, Unidad Gest Ambiental, Las Encinas 220, Valdivia, Chile;  Univ Austral Chile, Fac Ciencias Forestales & Recursos Nat, Inst Conservac Biodiversidad & Terr, Lab Biodiversidad & Ecol Dosel, Independencia 641, Valdivia, Chile;  Univ Austral Chile, Fac Ciencias Forestales & Recursos Nat, Escuela Grad, Independencia 641, Valdivia, Chile;  Univ Gottingen, Albrecht von Haller Inst Plant Sci, Dept Palynol & Climate Dynam, Untere Karspule 2, D-37073 Gottingen, Germany;  Univ Austral Chile, Inst Conservac Biodiversidad & Terr, Lab Dendrocronol & Cambio Global, Casilla 567, Valdivia, Chile;  Univ Austral Chile, Ctr Climate & Resilience Res CR2, Casilla 567, Valdivia, Chile}	Ecosystem engineering by Fascicularia bicolor in the canopy of the South-American temperate rainforest	5
10.1073/pnas.1705168114	{Argentina, Australia, CO 80309 USA, Chile, OR 97207 USA}	{ Portland State Univ, Dept Geog, Portland, OR 97207 USA;  Univ Nacl Comahue, Inst Invest Biodiversidad & Medioambiente, Lab Ecotono, Consejo Nacl Invest Cient & Tecn, RA-8400 San Carlos De Bariloche, Rio Negro, Argentina;  Consejo Nacl Invest Cient & Tecn, Inst Argentino Nivol Glaciol & Ciencias Ambiental, Lab Dendrocronol & Hist Ambiental, Ctr Cient Tecnol, M5502IRA, Mendoza, Argentina;  Univ Nacl Cuyo, Fac Ciencias Exactas & Nat, M5502JMA, Mendoza, Argentina;  Univ Colorado, Dept Geog, Boulder, CO 80309 USA;  Univ Tasmania, Sch Biol Sci, Hobart, Tas 7001, Australia;  Univ Nacl Tucuman, Consejo Nacl Invest Cient & Tecn, Inst Ecol Reg, RA-4172 Yerba Buena, Argentina;  Univ Austral Chile, Inst Silvicultura, Fac Ciencias Forestales & Recursos Nat, Inst Conservac Biodiversidad & Terr, Valdivia, Chile;  Ctr Climate & Resilience Res CR2, Santiago, Chile;  Univ Nacl Tucuman, Fac Ciencias Nat, RA-4000 San Miguel De Tucuman, Tucuman, Argentina;  Univ Nacl Tucuman, Inst Miguel Lillo, RA-4000 San Miguel De Tucuman, Tucuman, Argentina;  Univ Nacl Misiones, Fac Ciencias Forestales, RA-3380 Eldorado, Misiones, Argentina}	Southern Annular Mode drives multicentury wildfire activity in southern South America	2
10.5194/acp-17-10093-2017	{Chile}	{ Pontificia Univ Catolica Chile, Geog Inst, Santiago 7820436, Chile;  Pontificia Univ Catolica Chile, Dept Chem Engn & Bioproc, Santiago 7820436, Chile;  Univ Chile, Dept Geophys, Santiago, Chile;  Univ Chile, Ctr Climate & Resilience Res, Santiago, Chile;  Pontificia Univ Catolica Chile, Ctr Sustainable Urban Dev CEDEUS, Santiago 7820436, Chile}	Temporal evolution of main ambient PM2.5 sources in Santiago, Chile, from 1998 to 2012	5
