DI	AFF	INST	TI	NAT
10.1016/j.foreco.2018.11.041	{Australia, Spain, Chile, CO 80309 USA}	{ Ctr Climate & Resilience Res CR2, Santiago, Chile;  Univ Cadiz, Dept Biol IVAGRO, Fac Ciencias Mar & Ambientales, Puerto Real 11510, Spain;  Univ Austral Chile, Fac Ciencias Forestales & Recursos Nat, Inst Conservac Biodiversidad & Terr, Valdivia, Chile;  Univ Austral Chile, Inst Ciencias Ambientales & Evolut, Valdivia, Chile;  Corp Nacl Forestal, Dept Planificac & Desarrollo, Santiago, Chile;  Univ Colorado, Cooperat Inst Res Environm Sci, Boulder, CO 80309 USA;  Univ Western Sydney, Hawkesbury Inst Environm, Penrith, NSW, Australia}	Temperature and agriculture are largely associated with fire activity in Central Chile across different temporal periods	4
10.1016/j.scitotenv.2018.09.237	{Chile}	{ Univ Concepcion, Fac Environm Sci, Concepcion, Chile;  Univ Concepcion, EULA Chile Ctr, Dept Terr Planning, Concepcion, Chile;  Univ Concepcion, CHRIAM Water Ctr, Dept Water Resources, Concepcion, Chile;  Univ Concepcion, Sch Architecture Urban Planning & Geog, Dept Geog, Concepcion, Chile;  Univ Concepcion, Dept Oceanog, Concepcion, Chile;  Ctr Climate & Resilience Res CR2, Santiago, Chile}	A new method to evaluate the vulnerability of watersheds facing several stressors: A case study in mediterranean Chile	6
10.1017/RDC.2018.81	{CA USA, Chile}	{ Univ Concepcion, Postgrad Sch Oceanog, Fac Nat & Oceanog Sci, Concepcion, Chile;  Univ Magallanes, Direcc Programas Antarticos & Subantarticos, Punta Arenas, Chile;  Univ Magallanes, Ctr Climate & Resilience Res, Punta Arenas, Chile;  Univ Calif Irvine, Dept Earth Syst Sci, Irvine, CA USA;  Pontificia Univ Catolica Chile, Dept Ecol, Santiago, Chile}	MARINE RADIOCARBON RESERVOIR AGE ALONG THE CHILEAN CONTINENTAL MARGIN	4
10.1007/s00703-017-0555-4	{Chile}	{ Univ Chile, Dept Geophys, Santiago 2002, Chile}	Spatial variability of near-surface temperature over the coastal mountains in southern Chile (38 degrees S)	1
10.1130/G45642.1	{CA 94720 USA, Chile}	{ Univ Calif Berkeley, Dept Environm Sci Policy & Management, Berkeley, CA 94720 USA;  Univ Chile, Fac Ciencias Agron, Dept Ingn & Suelos, Santa Rosa 11315, La Pintana, Chile;  Pontificia Univ Catolica Chile, Dept Ecol, Santiago, Chile;  Pontificia Univ Catolica Chile, Ctr UC Desierto Atacama, Santiago, Chile;  IEB, Santiago, Chile;  Univ Concepcion, Fac Ciencias Nat & Oceanog, Dept Oceanog, Casilla 160-C, Concepcion, Chile;  Ctr Ciencia Clima & Resiliencia CR 2, Ave Blanco Encalada 2002, Santiago, Chile}	Rare calcium chloride-rich soil and implications for the existence of liquid water in a hyperarid environment	6
10.1038/s41396-018-0268-9	{MA 02139 USA, Sweden, Chile}	{ Pontificia Univ Catolica Chile, Dept Mol Genet & Microbiol, Santiago, Chile;  Ctr Climate & Resilience Res, Concepcion, Chile;  MIT, Dept Civil & Environm Engn, 77 Massachusetts Ave, Cambridge, MA 02139 USA;  Pontificia Univ Catolica Chile, Dept Ecol, Santiago, Chile;  Univ Mayor, GEMA Ctr Genom Ecol & Environm, Santiago, Chile;  Univ Concepcion, Dept Oceanog, Concepcion, Chile;  Univ Chile, Inst Ecol & Biodiversidad, Santiago, Chile;  Univ Talca, Inst Ciencias Biol, Talca, Chile;  Univ Catolica Norte, Ctr Estudios Avanzados Zonas Aridas, Coquimbo, Chile;  Stockholm Univ, Dept Ecol Environm & Plant Sci, Stockholm, Sweden;  Univ Chile, INTA, Santiago, Chile}	Bacterial community structure in a sympagic habitat expanding with global warming: brackish ice brine at 85-90 degrees N	9
10.5194/acp-19-459-2019	{England, Chile}	{ Plymouth Marine Lab, Plymouth, Devon, England;  Univ Leicester, Dept Chem, NCAS, Leicester, Leics, England;  Univ Chile, Dept Geofis, Ctr Climate & Resilience Res CR2, Santiago, Chile}	Estimation of atmospheric total organic carbon (TOC) - paving the path towards carbon budget closure	1
10.1525/elementa.340	{Chile}	{ Univ Chile, Fac Ciencias Forestales & Conservac Nat, Santiago, Chile;  Univ Chile, Dept Geofis, Santiago, Chile;  FONDAP15110009, Ctr Climate & Resilience Res, CR2, Valdivia, Chile;  Univ Chile, Ctr Derecho Arnbiental, Santiago, Chile;  Pontificia Univ Catolica Valparaiso, Inst Geog, Valparaiso, Chile;  Univ Austral Chile, Inst Conservac Biodiversidad & Terr, Valdivia, Chile}	Anthropocene and streamflow: Long-term perspective of streamflow variability and water rights	6
10.1007/s00300-018-2411-5	{MA 02139 USA, Chile}	{ Pontificia Univ Catolica Chile, Fac Biol Sci, Dept Mol Genet & Microbiol, Santiago, Chile;  Ctr Climate & Resilience Res CR 2, Santiago, Chile;  Univ Valparaiso, Fac Ciencias Mar & Recursos Nat, Vina Del Mar, Chile;  Pontificia Univ Catolica Valparaiso, Programa Magister Oceanog, Univ Valparaiso, Valparaiso, Chile;  MIT, Dept Civil & Environm Engn, 77 Massachusetts Ave, Cambridge, MA 02139 USA;  Univ Mayor, Ctr Genom & Bioinformat, Fac Sci, Santiago, Chile}	Summer phyto- and bacterioplankton communities during low and high productivity scenarios in the Western Antarctic Peninsula	5
10.2489/jswc.74.1.12	{Chile}	{ Univ Chile, Santiago, Chile;  Univ Chile, Fac Agron Sci, Santiago, Chile;  Ctr Climate & Resilience Res, Santiago, Chile;  Austral Univ, Inst Conservat Biodivers & Terr, Valdivia, Chile}	'Assessment of soil physical properties'' statuses under different land covers within a landscape dominated by exotic industrial tree plantations in south-central Chile'	4
10.1016/j.ecss.2018.10.020	{Chile}	{ Univ Concepcion, Fac Ciencias Nat & Oceanog, Dept Oceanog, Concepcion, Chile;  Ctr Ciencia Clima & Resiliencia CR2, Santiago, Chile;  Pontificia Univ Catolica Chile, Escuela Ciencias Mar, Santiago, Chile;  Serv Nacl Pesca, Castro, Chile}	Distribution of dissolved methane and nitrous oxide in Chilean coastal systems of the Magellanic Sub-Antarctit region (50 degrees-55 degrees S)	4
10.1016/j.foreco.2018.08.027	{Chile}	{ Univ Austral Chile, Inst Conservat Biodiversidad & Terr, Fac Ciencias Forestales & Recursos Nat, Lab Dendrocronol & Cambio Global, Valdivia, Chile;  Ctr Ciencia Clima & Resiliencia, CR2, Santiago, Chile;  Univ Austral Chile, Inst Conservat Biodiversidad & Terr, Fac Ciencias Forestales & Recursos Nat, Lab Ecofisiol Conservat Bosques, Valdivia, Chile;  Univ La Serena, Dept Biol, La Serena, Chile;  IEB, Santiago, Chile;  Univ Austral Chile, Inst Ciencias Ambientales & Evolut, Fac Ciencias, Valdivia, Chile}	Elucidating the hydraulic vulnerability of the longest-lived Southern Hemisphere conifer to aridification	6
10.1525/elementa.328	{Japan, Chile}	{ Ctr Climate & Resilience Res, CR2, FONDAP 15110009, Santiago, Chile;  Univ Chile, Dept Geophys, Santiago, Chile;  Univ Austral Chile, Inst Conservac Biodiversidad & Terr, Valdivia, Chile;  Univ Santiago Chile, Dept Phys, Santiago, Chile;  Chiba Univ, Ctr nment Remote Sensing, Chiba, Japan;  Pontificia Univ Catolica Chile, Dept Phys Geog, Santiago, Chile}	Anthropogenic drying in central-southern Chile evidenced by long-term observations and climate model simulations	5
10.3389/fenrg.2018.00134	{Sweden, Chile}	{ Univ Chile, Social Sci Fac, Santiago, Chile;  Ctr Climate & Resilience Res CR2, Santiago, Chile;  Energy Poverty Network, Santiago, Chile;  Adolfo Ibanez Univ, Sch Govt, Santiago, Chile;  Earth Syst Governance Project, Lund, Sweden}	'Participatory Energy Transitions as Boundary Objects: The Case of Chile''s Energia2050'	4
